Provinsi/Kabupaten/Kota,
,[Metode Baru] Pengeluaran per Kapita Disesuaikan (Ribu Rupiah/Orang/Tahun)
,2020
ACEH,9492
Simeulue,7085
Aceh Singkil,8707
Aceh Selatan,8089
Aceh Tenggara,8020
Aceh Timur,8489
Aceh Tengah,10673
Aceh Barat,9516
Aceh Besar,9641
Pidie,9816
Bireuen,8857
Aceh Utara,8122
Aceh Barat Daya,8316
Gayo Lues,8791
Aceh Tamiang,8327
Nagan Raya,8216
Aceh Jaya,9615
Bener Meriah,11098
Pidie Jaya,10071
Kota Banda Aceh,16778
Kota Sabang,11273
Kota Langsa,12057
Kota Lhokseumawe,11367
Kota Subulussalam,7317
SUMATERA UTARA,10420
Nias,6898
Mandailing Natal,9684
Tapanuli Selatan,11236
Tapanuli Tengah,10071
Tapanuli Utara,11648
Toba Samosir / Toba,12154
Labuhan Batu,11150
Asahan,10890
Simalungun,11308
Dairi,10350
Karo,12349
Deli Serdang,12225
Langkat,11071
Nias Selatan,6974
Humbang Hasundutan,7850
Pakpak Bharat,8170
Samosir,8422
Serdang Bedagai,10950
Batu Bara,10410
Padang Lawas Utara,9987
Padang Lawas,8807
Labuhan Batu Selatan,11495
Labuhan Batu Utara,11779
Nias Utara,6064
Nias Barat,5830
Kota Sibolga,11473
Kota Tanjung Balai,11132
Kota Pematang Siantar,12372
Kota Tebing Tinggi,12876
Kota Medan,14890
Kota Binjai,10997
Kota Padangsidimpuan,10856
Kota Gunungsitoli,7980
SUMATERA BARAT,10733
Kepulauan Mentawai,6281
Pesisir Selatan,9212
Solok,10171
Sijunjung,10361
Tanah Datar,10588
Padang Pariaman,10998
Agam,9651
Lima Puluh Kota,9596
Pasaman,8425
Solok Selatan,10325
Dharmasraya,11273
Pasaman Barat,9047
Kota Padang,14481
Kota Solok,12117
Kota Sawah Lunto,10182
Kota Padang Panjang,10734
Kota Bukittinggi,13282
Kota Payakumbuh,13281
Kota Pariaman,12796
RIAU,10675
Kuantan Singingi,10243
Indragiri Hulu,10202
Indragiri Hilir,9954
Pelalawan,11606
Siak,11799
Kampar,10796
Rokan Hulu,9374
Bengkalis,11331
Rokan Hilir,9362
Kepulauan Meranti,7790
Kota Pekanbaru,14433
Kota Dumai,11751
JAMBI,10392
