Provinsi,Produk Domestik Regional Bruto per Kapita Atas Dasar Harga Berlaku (Ribu Rp)
Aceh,31633
Sumatera Utara,54979
Sumatera Barat,43826
Riau,114167
Jambi,57958
Sumatera Selatan,53843
Bengkulu,36552
Lampung,39290
Kepulauan Bangka Belitung,52023
Kepulauan Riau,123465
DKI Jakarta,262615
Jawa Barat,43237
Jawa Tengah,36965
DI Yogyakarta,37694
Jawa Timur,56641
Banten,52729
Bali,52015
Nusa Tenggara Barat,25184
Nusa Tenggara Timur,20057
Kalimantan Barat,39622
Kalimantan Tengah,57145
Kalimantan Selatan,44101
Kalimantan Timur,161799
Kalimantan Utara,143533
Sulawesi Utara,50521
Sulawesi Tengah,66306
Sulawesi Selatan,55675
Sulawesi Tenggara,49718
Gorontalo,35693
Sulawesi Barat,32837
Maluku,25094
Maluku Utara,33069
Papua Barat,73933
Papua Barat Daya,...
Papua,46416
Papua Selatan,...
Papua Tengah,...
Papua Pegunungan,...
