38 Provinsi,
,
,
,Agustus
ACEH,6.59
SUMATERA UTARA,6.91
SUMATERA BARAT,6.88
RIAU,6.32
JAMBI,5.13
SUMATERA SELATAN,5.51
BENGKULU,4.07
LAMPUNG,4.67
KEP. BANGKA BELITUNG,5.25
KEP. RIAU,10.34
DKI JAKARTA,10.95
JAWA BARAT,10.46
JAWA TENGAH,6.48
DI YOGYAKARTA,4.57
JAWA TIMUR,5.84
BANTEN,10.64
BALI,5.63
NUSA TENGGARA BARAT,4.22
NUSA TENGGARA TIMUR,4.28
KALIMANTAN BARAT,5.81
KALIMANTAN TENGAH,4.58
KALIMANTAN SELATAN,4.74
KALIMANTAN TIMUR,6.87
KALIMANTAN UTARA,4.97
SULAWESI UTARA,7.37
SULAWESI TENGAH,3.77
SULAWESI SELATAN,6.31
SULAWESI TENGGARA,4.58
GORONTALO,4.28
SULAWESI BARAT,3.32
MALUKU,7.57
MALUKU UTARA,5.15
PAPUA BARAT,6.8
PAPUA BARAT DAYA,-
PAPUA,4.28
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,7.07
