38 Provinsi,
,Upah Minimum Regional/Propinsi (Rupiah)
,2020
ACEH,3165031
SUMATERA UTARA,2499423
SUMATERA BARAT,2484041
RIAU,2888564
JAMBI,2630162
SUMATERA SELATAN,3043111
BENGKULU,2213604
LAMPUNG,2432002
KEP. BANGKA BELITUNG,3230024
KEP. RIAU,3005460
DKI JAKARTA,4276350
JAWA BARAT,1810351
JAWA TENGAH,1742015
DI YOGYAKARTA,1704608
JAWA TIMUR,1768777
BANTEN,2460997
BALI,2494000
NUSA TENGGARA BARAT,2183883
NUSA TENGGARA TIMUR,1950000
KALIMANTAN BARAT,2399699
KALIMANTAN TENGAH,2903145
KALIMANTAN SELATAN,2877449
KALIMANTAN TIMUR,2981379
KALIMANTAN UTARA,3000804
SULAWESI UTARA,3310723
SULAWESI TENGAH,2303711
SULAWESI SELATAN,3103800
SULAWESI TENGGARA,2552015
GORONTALO,2788826
SULAWESI BARAT,2678863
MALUKU,2604961
MALUKU UTARA,2721530
PAPUA BARAT,3134600
PAPUA BARAT DAYA,-
PAPUA,3516700
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,2672371
